nama_workcenter,nama_detail,nama_dept,nomor_wo_repair,level_wo,level_urgency,estimasi,Requestor,status_wo,waktu_kerusakan_mesin,waktu_pengajuan_servis,nama_kerusakan,deskripsi_bebas,jenis_failure,penyebab_masalah,penyelesaian,saran,waktu_mulai,waktu_selesai,catatan_perlu_pmt,catatan,waktu_reject_wo,ditolak_oleh
Fillpack B,Carton Erector CRE1003,PRB,AC1901-0136,menghambat,Emergency,1 Hari,Sugiyono NSI,done,1/4/2019 4:21:00 PM,1/4/2019 4:31:00 PM,Tapping plagband rusak,Tapping rusak baut lepas dan palg band tidak sempurna,Part hilang,baut untuk taping head ada yang tidak ada,lengkapi baut-baut >> ok,-,1/4/2019 8:00:00 PM,1/4/2019 8:30:00 PM,,,,
Fillpack B,Carton sealer CSL1010,PRB,AC1851-0205,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,12/20/2018 7:32:00 AM,12/20/2018 7:32:00 AM,Gear Bearing,Gear Bearing Kendor,Misalignment,bevel gear kendor ,"cek >> bevel gear kendor >> lepas motor >> lepas loknut >> ganti loknut >> coba ganjal dengan clamp selang 2 biji >> posisikan bevel gear >> kencangkan loknut >> setting posisi motor >> kencangkan baud >> tes jalan >> ok> dampingi op sampai 25 box >> ok >> tidak lama bevel lepas lagi ( kemungkinan karena bevel gear aus ) >> tunggu mesin dikirim ke bengkel >> lepasmotor >> lepas loknut >>  lepas belt dan rangka belt atas >> lepas as dan bevel gear >> coba ganti as dengan yang baru >> ganti bevel gear >> pasang kembali bevel gear , as dan belt >>  >> bevel gear di motor turun terus >> bongkar motor >> bersihkan motor >> cek seal >> coba pasang dua seal >> rakit >> cek >> ok >> pasang motor >> setting >> tes jalan >> ok >> beberapa saat langsung kendor lagi bevel gearnya >> coba kencangkan lagi >> tes jalan >> masih sama tidak lebih dari 2 menit bevel gear kendor lagi >> lanjut sif berikutnya cek kondisi bevel gear>> bevel gear selalu geser pada asnya meskipu sudah menggunakan locknut>> as sudah diganti masih saja tetap bergeser>> menggunakan klem masih tetap menggeser>> as coba dipasang pipa paralon yang dipanaskan agar pipa tidak lonngar>> coba pasangkan kembali>> belt tidak jalan sama sekali>> pipa terlalu panjang sehingga terlalu menekan anatar bevel gear>> kurangi panjang pipa>> pasangkan >> test>> pantau >> oke>> kirim ke gedung G

",-,12/20/2018 8:30:00 AM,12/20/2018 5:00:00 PM,,,,
Fillpack B,Carton sealer CSL1014,PRB,AC1845-0139,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,11/7/2018 8:19:00 PM,11/7/2018 8:20:00 PM,MOTOR,motor penggerak belt rusak,Part rusak,gear nanas motor tidak pas,posisikan gear nanas motor,-,11/7/2018 8:00:00 PM,11/7/2018 8:30:00 PM,,,,
Fillpack B,Carton Erector CRE1001,PRB,AC1847-0025,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,11/19/2018 10:49:00 AM,11/19/2018 10:50:00 AM,vacum ,VACUM ERROR,Part rusak,silincer rusak,ganti dengan silincer yang baru,-,11/19/2018 11:15:00 AM,11/19/2018 11:45:00 AM,,,,
Fillpack B,Carton sealer CSL1018,PRB,AC1918-0206,menghambat,Emergency,1 Hari,Sugiyono NSI,done,5/6/2019 7:02:00 AM,5/6/2019 7:03:00 AM,Print Mask,error,Part kotor,nozzle tidak ok ( kotor ),test purging printer >> tinta tidak keluar >> coba ganti tinta menggunakan solvent untuk membersihkan jalur >> tinta >> test >> masih belum ok >>  coba lepas nozzle >> test rnapa nozzle >> ok >> bersihkan nozzle >> pasang kembali >> test >> ok >> rakit printer marsh >> test >> ok,-,5/6/2019 7:00:00 AM,5/6/2019 9:00:00 AM,,,,
Fillpack B,Carton Erector CRE1002,PRB,AC1846-0240,menghambat,Emergency,1 Hari,M arief lukman,done,11/15/2018 8:18:00 PM,11/15/2018 8:18:00 PM,Selang angin,ANGIN KECIL,Part rusak,ada kebocoran pada selang,perbaiki selang yang bocor >> ganti dan sambung>> ok,-,11/16/2018 2:30:00 PM,11/16/2018 3:00:00 PM,,,,
Fillpack B,Carton sealer CSL1020,PRB,AC1911-0042,menghambat,Emergency,1 Hari,Sugiyono NSI,done,3/12/2019 7:57:00 PM,3/12/2019 8:09:00 PM,Print Mask,Print marsh error nga bias ngeprint,Pengoperasian tidak normal,printer mampet,"coba printer yang dari Gd.A >> pasang  >> coba purging >> tinta cuma keluar pada lubang nomer 2 >> lepas >> bawa ke bengkel >> kepotong istirahat dan panggilan lain >> bongkar printer >> cek pancaran tinta hanya keluar dari nomor 2 >> lepas part yang ada pada printer >> rendam dan bersihkan >> rakit kembali >> belum OK >> tinta masih tidak terpancar >> ambil spare part vslve tinta dari store >> pasang >> OK, tapi masih ada yang belum OK >> bersihkan kembali beberapa valve >> coba kembali valve satu persatu >> pancaran sudah OK >> rakit kembali part-part printer >> test print >> OK, pasang pada mesin >> OK",-,3/12/2019 4:45:00 PM,3/13/2019 10:30:00 AM,,,,
Fillpack B,Carton sealer CSL1010,PRB,AC1851-0203,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,12/20/2018 7:13:00 AM,12/20/2018 7:14:00 AM,Kabel Emeregency,Tombol Emeregency Nyala Terus,Pengoperasian tidak normal,emergency error,"cek >> emergenci error >> coba cek dudukan emergency >> setting >> tes jalan >> tes emergency >> ok
",-,12/20/2018 7:30:00 AM,12/20/2018 8:00:00 AM,,,,
Fillpack B,Carton sealer CSL1024,PRB,AC1918-0168,menghambat,Emergency,1 Hari,M arief lukman,done,5/2/2019 7:15:00 PM,5/2/2019 7:15:00 PM,van belt aus ,BELT LEPAS/KELUAR JALUR,Part rusak,belt sudah tidak ok,"cek, belt keluar jalur dan belt sudah tidak ok >> kendorkan settingan belt >> lepas roller roller >> keluarkan belt >> ganti belt dengan yang baru >> pasang >> setting tension >> pasang roller roller >> test >> pantau >> ok",-,5/2/2019 7:30:00 PM,5/2/2019 8:00:00 PM,,,,
Fillpack B,Carton sealer CSL1014,PRB,AC1904-0006,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,1/22/2019 8:25:00 AM,1/22/2019 8:25:00 AM,MOTOR,motor penarik belt tidak jalan,Pengoperasian tidak normal,gear antara motor bagian atas dan as belt tidak sinkron,"lepas cover motor, putar manual belt >> putaran belt tersendat >> lepas baut pengunci motor, cek gear pada bagian as belt kendor, setting posisi gear + kencangkan >> OK, kencangkan juga pengunci gear pada motor >> OK, pasang kembali motor >> setting posisi motor >> pasang cover motor >> test run + pantau >> OK",-,1/22/2019 9:00:00 AM,1/22/2019 9:45:00 AM,,,,
Fillpack B,Cartoning CRT1008,PRB,AC1910-0133,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,3/11/2019 8:44:00 AM,3/11/2019 8:44:00 AM,nordson,Nordson Error,Part kotor,filter lem kotor >> settingan sensor dan gun #OK,test manual >> semprotan lem gun 1 kurang >> cek tekanan angin >> OK >> buka filter >> bersihkan filter >> pasang filter >> test run >> setting posisi gun dan sensor >> pantau >> OK,-,3/11/2019 8:45:00 AM,3/11/2019 11:00:00 AM,,,,
Fillpack B,Carton sealer CSL1020,PRB,AC1916-0131,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,4/22/2019 6:57:00 PM,4/22/2019 6:58:00 PM,Belt,Belt nyangkut,Misalignment,baut tension kendor,buka roller roller >> buka dudukan roller >> setting tension >> pasang belt >> pasang dudukan roller >> pasang roller >> setting tension >> test run >> Ok >> lanjut memperbaiki wiring kabel timbangan >> OK,-,4/22/2019 7:00:00 PM,4/22/2019 8:30:00 PM,,,,
Fillpack B,Cartoning CRT1010,PRB,AC1913-0164,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,3/29/2019 8:43:00 AM,3/29/2019 8:43:00 AM,Gear Bearing,Bearing Haus,Part rusak,bearing roller conveyor sudah tidak OK,"kendorkan tension roller conveyor >> lepas roller yang bearing nya sudah tidak OK >> kondisi roller kotor >> rendam dan bersihkan roller >> cek bagian roller sudah aus dan banyak yang rusak >> part diorderkan pada supplier >> pasang roller yang sudah di repair oleh supplier >> setting tension belt beberapa kali >> pantau 
>> ok",-,3/29/2019 10:15:00 AM,4/1/2019 9:45:00 AM,,,,
Fillpack B,Cartoning CRT1011,PRB,AC1851-0219,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,12/21/2018 6:40:00 AM,12/21/2018 6:41:00 AM,Tombol Emeregency,Tombol Emeregency Error,Part rusak,mesin tidak mau run otomatis,cek >> mesin tidak  bisa run otomatis >> ada kabel putus >> sambung kabel >> cek jalan >> tidak jalan >> tinggikan speed >> tes jalan >> ok,-,12/21/2018 7:00:00 AM,12/21/2018 7:30:00 AM,,,,
Fillpack B,Carton sealer CSL1023,PRB,AC1919-0075,menghambat,Emergency,1 Hari,M arief lukman,done,5/8/2019 6:50:00 AM,5/8/2019 6:51:00 AM,Motor mesin mati,Mohon di cek,Part rusak,motor rusak,coba test running >> belt bawah tidak running >> coba putar manual belt >> putaran berat >> buka rantai belt bawah >> putar manual >> ringan >> cek motor >> motor overheat >> cek putaran motor > macet > dinginkan motor teru bongkar motor >> bongkar reducer motor >> putar manual reducer >> ringan >> putar motor >> macet >> cari motor bestpack di ex parkir >> lepas motor bestpack >> lengkapi terminal wiring motor karena tidak ada >> wiring motor >> tes tanpa beban > ok > pasang motor > posisi gear pada reducer tidak sesuai > bongkar reducer > reposisi gear > pasang motor > belt bagian atas dan bawah sudah aus > bongkar belt bawah > gantii belt bawah 2 pcs > bongkar belt bagian atas > ganti belt atas 2 pcs > kencangkan baud baud pada bestpack > tes run > putaran motor bawah terbalik > wiring ulang motor > test > ok,-,5/8/2019 8:45:00 AM,5/8/2019 12:30:00 PM,,,,
Fillpack B,Cartoning CRT1011,PRB,AC1901-0234,menghambat,Emergency,1 Hari,Admin PRB Fillpack,done,1/7/2019 2:29:00 PM,1/7/2019 2:29:00 PM,Tombol Power,"Tombol Power Mati,Mesin Mati Total",Part rusak,"hose rusak, ada kabel power yang lepas","cek panel, ada kabel yang lepas > perbaiki kabel > OK > tukar hose dari cart D ke C > pasang hose > OK
",-,1/7/2019 2:30:00 PM,1/7/2019 4:00:00 PM,,,,
